RequestID: 0	 Number: 5	 Factorial: 120	 ProcessingTime:15700
RequestID: 1	 Number: 6	 Factorial: 720	 ProcessingTime:9700
RequestID: 2	 Number: 7	 Factorial: 5040	 ProcessingTime:3900
RequestID: 3	 Number: 3	 Factorial: 6	 ProcessingTime:3300
RequestID: 4	 Number: 0	 Factorial: 1	 ProcessingTime:2900
RequestID: 5	 Number: 5	 Factorial: 120	 ProcessingTime:2800
RequestID: 6	 Number: 6	 Factorial: 720	 ProcessingTime:2900
RequestID: 7	 Number: 3	 Factorial: 6	 ProcessingTime:2700
RequestID: 8	 Number: 2	 Factorial: 2	 ProcessingTime:2800
RequestID: 9	 Number: 8	 Factorial: 40320	 ProcessingTime:3000
RequestID: 10	 Number: 6	 Factorial: 720	 ProcessingTime:2700
RequestID: 11	 Number: 4	 Factorial: 24	 ProcessingTime:2800
RequestID: 12	 Number: 2	 Factorial: 2	 ProcessingTime:2800
RequestID: 13	 Number: 4	 Factorial: 24	 ProcessingTime:2800
RequestID: 14	 Number: 7	 Factorial: 5040	 ProcessingTime:2800
RequestID: 15	 Number: 7	 Factorial: 5040	 ProcessingTime:2900
RequestID: 16	 Number: 2	 Factorial: 2	 ProcessingTime:3000
RequestID: 17	 Number: 2	 Factorial: 2	 ProcessingTime:2900
RequestID: 18	 Number: 4	 Factorial: 24	 ProcessingTime:2800
RequestID: 19	 Number: 0	 Factorial: 1	 ProcessingTime:2800
RequestID: 20	 Number: 2	 Factorial: 2	 ProcessingTime:2800
RequestID: 21	 Number: 3	 Factorial: 6	 ProcessingTime:3200
RequestID: 22	 Number: 1	 Factorial: 1	 ProcessingTime:2900
RequestID: 23	 Number: 2	 Factorial: 2	 ProcessingTime:3200
RequestID: 24	 Number: 8	 Factorial: 40320	 ProcessingTime:3100
RequestID: 25	 Number: 5	 Factorial: 120	 ProcessingTime:3000
RequestID: 26	 Number: 8	 Factorial: 40320	 ProcessingTime:2900
RequestID: 27	 Number: 7	 Factorial: 5040	 ProcessingTime:3000
RequestID: 28	 Number: 4	 Factorial: 24	 ProcessingTime:3500
RequestID: 29	 Number: 0	 Factorial: 1	 ProcessingTime:2900
RequestID: 30	 Number: 5	 Factorial: 120	 ProcessingTime:3100
RequestID: 31	 Number: 8	 Factorial: 40320	 ProcessingTime:3200
RequestID: 32	 Number: 1	 Factorial: 1	 ProcessingTime:2700
RequestID: 33	 Number: 7	 Factorial: 5040	 ProcessingTime:3100
RequestID: 34	 Number: 7	 Factorial: 5040	 ProcessingTime:2900
RequestID: 35	 Number: 5	 Factorial: 120	 ProcessingTime:3200
RequestID: 36	 Number: 3	 Factorial: 6	 ProcessingTime:2900
RequestID: 37	 Number: 6	 Factorial: 720	 ProcessingTime:3200
RequestID: 38	 Number: 5	 Factorial: 120	 ProcessingTime:2900
RequestID: 39	 Number: 8	 Factorial: 40320	 ProcessingTime:2700
RequestID: 40	 Number: 0	 Factorial: 1	 ProcessingTime:2600
RequestID: 41	 Number: 7	 Factorial: 5040	 ProcessingTime:3000
RequestID: 42	 Number: 5	 Factorial: 120	 ProcessingTime:3200
RequestID: 43	 Number: 6	 Factorial: 720	 ProcessingTime:3100
RequestID: 44	 Number: 0	 Factorial: 1	 ProcessingTime:2700
RequestID: 45	 Number: 8	 Factorial: 40320	 ProcessingTime:3300
RequestID: 46	 Number: 2	 Factorial: 2	 ProcessingTime:3000
RequestID: 47	 Number: 8	 Factorial: 40320	 ProcessingTime:2800
RequestID: 48	 Number: 5	 Factorial: 120	 ProcessingTime:2700
